HIP,RAJ2000,DEJ2000,Dist,Teff,mag,Lum,Mass,Rad,CHZ,OHZ,plx
63993,13 06 49.9171,+28 12 24.8403,212.0,6070,9.0999,9.4,1.2,2.8,2.2,3.0,4.72
63994,13 06 49.8022,-62 06 40.0862,130.0,6123,8.7745,5.0,1.23,2.0,1.6,2.2,7.65
63995,13 06 50.9498,-77 52 13.6825,54.0,5767,8.9044,0.76,1.0,0.87,0.6,0.9,18.54
63998,13 06 52.3495,-75 47 05.6354,66.0,4889,10.5761,0.324,0.76,0.79,0.5,0.6,15.04
63999,13 06 52.6818,+36 06 37.8328,160.0,6512,9.4143,4.09,1.4,1.6,1.4,1.9,6.07
64002,13 06 54.0436,-26 46 10.5543,160.0,6227,9.6011,3.4,1.3,1.6,1.3,1.8,6.3
64005,13 06 56.2471,-56 44 38.5644,86.0,5932,8.9441,1.9,1.12,1.3,0.99,1.4,11.57
64007,13 06 56.7900,+25 02 18.0985,170.0,6153,9.4228,4.3,1.25,1.8,1.4,2.0,5.96
64010,13 06 58.5865,-08 02 17.5850,130.0,6741,9.294,2.8,1.4,1.22,1.1,1.5,7.84
64011,13 06 59.1856,-37 44 39.4479,63.0,6027,8.619,1.4,1.17,1.07,0.8,1.2,15.94
64013,13 06 59.9650,-56 38 12.2000,107.0,6720,8.7013,3.3,1.4,1.3,1.2,1.7,9.36
64015,13 07 00.9872,+08 18 14.0394,180.0,4552,9.8718,5.5,0.69,3.8,2.0,3.0,5.6
64020,13 07 08.0152,+07 45 26.1422,79.0,5891,9.2126,1.24,1.1,1.07,0.8,1.1,12.6
64024,13 07 11.9902,+70 06 24.0523,240.0,6347,9.2844,10.6,1.4,2.7,2.2,3.0,4.09
64026,13 07 13.2359,-52 00 59.2856,83.0,6415,8.7541,2.0,1.4,1.14,0.95,1.3,12.05
64028,13 07 15.5448,+37 15 57.1448,58.0,5414,8.2764,1.6,0.911,1.4,0.95,1.3,17.23
64030,13 07 19.7583,+00 35 06.7211,65.0,5880,7.138,4.8,1.1,2.12,1.6,2.2,15.4
